device_id,csv_filename,uploaded_at,Datetime,Frame ID,Track ID,ReID Name,Prob,BBox4,LeftEyeAngle,RightEyeAngle,IsLooking,Gender,Age,Prob_<15,Prob_15-30,Prob_30-45,Prob_45-60,Prob_>60
996aebb3,20260326_034543.csv,2026/05/14 07:08:35:000,2026/03/26 03:46:29:557,266,10557,null,0.8166,"[1424, 341, 1571, 716]",-1.0,-1.0,N/A,Female,33,0.0038,0.2849,0.5747,0.0061,0.0052
996aebb3,20260326_034543.csv,2026/05/14 07:08:35:000,2026/03/26 03:46:29:738,267,10557,null,0.8035,"[1424, 341, 1574, 723]",-1.0,-1.0,N/A,Female,33,0.0038,0.2849,0.5747,0.0061,0.0052
996aebb3,20260326_034543.csv,2026/05/14 07:08:35:000,2026/03/26 03:46:33:906,287,10496,null,0.8018,"[1483, 590, 1749, 1134]",-1.0,-1.0,N/A,Female,27,0.0039,0.6803,0.232,0.0111,0.0026
996aebb3,20260326_034543.csv,2026/05/14 07:08:35:000,2026/03/26 03:46:34:792,291,10496,null,0.8016,"[1479, 595, 1740, 1125]",-149.3,-69.7,No,Female,27,0.0039,0.6803,0.232,0.0111,0.0026
996aebb3,20260326_034543.csv,2026/05/14 07:08:35:000,2026/03/26 03:46:37:117,303,10557,null,0.8222,"[1434, 348, 1574, 702]",-1.0,-1.0,N/A,Female,33,0.0038,0.2849,0.5747,0.0061,0.0052
996aebb3,20260326_034543.csv,2026/05/14 07:08:35:000,2026/03/26 03:46:38:271,309,10557,null,0.8024,"[1439, 346, 1581, 702]",-1.0,-1.0,N/A,Female,33,0.0038,0.2849,0.5747,0.0061,0.0052
996aebb3,20260326_034543.csv,2026/05/14 07:08:35:000,2026/03/26 03:46:38:440,310,10557,null,0.8048,"[1437, 346, 1578, 699]",-1.0,-1.0,N/A,Female,33,0.0038,0.2849,0.5747,0.0061,0.0052
996aebb3,20260326_034543.csv,2026/05/14 07:08:35:000,2026/03/26 03:46:38:637,311,10557,null,0.8046,"[1432, 346, 1579, 713]",-1.0,-1.0,N/A,Female,33,0.0038,0.2849,0.5747,0.0061,0.0052
996aebb3,20260326_034543.csv,2026/05/14 07:08:35:000,2026/03/26 03:46:38:849,312,10557,null,0.8027,"[1430, 344, 1582, 725]",-1.0,-1.0,N/A,Female,33,0.0038,0.2849,0.5747,0.0061,0.0052
996aebb3,20260326_034543.csv,2026/05/14 07:08:35:000,2026/03/26 03:46:39:879,317,10558,null,0.8077,"[997, 576, 1247, 1082]",131.8,108.8,No,Female,25,0.0004,0.8829,0.1396,0.0009,0.0025
